City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,yichang,30.7144,111.2847,25.84,87,12,0.81,CN,1720303839
84,east london,-33.0153,27.9116,15.18,52,73,5.45,ZA,1720303840
85,kongsberg,59.6652,9.6465,11.77,99,100,2.69,NO,1720303841
86,invercargill,-46.4,168.35,10.01,91,87,8.49,NZ,1720303843
87,san rafael,-34.6177,-68.3301,6.09,31,0,3.99,AR,1720303844
88,konibodom,40.2843,70.4426,27.35,32,51,6.49,TJ,1720303845
89,guiyang,26.5833,106.7167,24.27,73,100,9.0,CN,1720303846
90,mermoz boabab,14.7065,-17.4758,26.1,87,38,6.18,SN,1720303848
91,georgetown,5.4112,100.3354,26.96,89,20,0.0,MY,1720303815
92,isafjordur,66.0755,-23.124,8.34,61,69,2.14,IS,1720303850
93,remire-montjoly,4.9167,-52.2667,28.02,83,75,2.06,GF,1720303851
94,bilibino,68.0546,166.4372,7.58,85,99,2.02,RU,1720303852
95,udachny,66.4167,112.4,16.72,87,100,0.92,RU,1720303854
96,thompson,55.7435,-97.8558,24.9,44,99,1.48,CA,1720303855
97,qaqortoq,60.7167,-46.0333,5.26,97,100,1.43,GL,1720303856
98,rio grande,-32.035,-52.0986,8.06,69,100,2.96,BR,1720303858
99,yuxia,34.0615,108.6291,26.34,71,100,0.6,CN,1720303859
100,lihue,21.9789,-159.3672,27.77,65,75,5.14,US,1720303860
101,sydney,-33.8679,151.2073,11.3,90,75,3.6,AU,1720303752
102,puerto ayora,-0.7393,-90.3518,25.98,87,12,1.79,EC,1720303863
103,santa marta de ortigueira,43.6833,-7.85,13.95,85,58,2.93,ES,1720303864
104,krasnoslobodsk,48.7072,44.5714,26.9,65,0,7.0,RU,1720303865
105,vyazemskiy,47.5378,134.7525,22.6,93,62,1.33,RU,1720303867
106,utrik,11.2278,169.8474,28.04,77,22,8.05,MH,1720303868
107,ishqoshim,36.7248,71.6133,13.72,56,66,2.44,TJ,1720303869
108,bredasdorp,-34.5322,20.0403,11.42,37,100,3.24,ZA,1720303870
109,kingston,17.997,-76.7936,28.42,88,100,3.43,JM,1720303872
110,port saint john's,-31.6229,29.5448,14.92,65,35,3.49,ZA,1720303873
111,kuching,1.55,110.3333,27.23,89,40,1.03,MY,1720303874
112,segezha,63.7415,34.3222,12.17,84,7,5.57,RU,1720303875
113,fuyuan,46.4333,127.0833,23.0,77,100,1.73,CN,1720303876
114,fort bragg,35.139,-79.006,32.82,67,100,2.24,US,1720303878
115,saint-francois,46.4154,3.9054,13.69,89,0,1.54,FR,1720303879
116,prince george,53.9166,-122.753,25.72,41,0,0.89,CA,1720303803
117,antsiranana,-12.2787,49.2917,23.93,71,85,4.43,MG,1720303881
118,bahar,34.9072,48.4414,25.09,19,40,3.09,IR,1720303884
119,erdenet,49.0333,104.0833,12.12,93,11,1.87,MN,1720303885
120,whitehorse,60.7161,-135.0538,21.01,42,100,4.92,CA,1720303802
121,huilong,31.8111,121.655,26.88,91,82,2.69,CN,1720303889
122,svetlyy,54.675,20.1347,22.03,75,14,8.22,RU,1720303890
